Name;RF;XGB;Mean;SD;CV
ZINC000001530427;5.218997344;4.742704;4.980850672;0.238146672;0.04781245
ZINC000003807804;5.234579635;5.2021236;5.218351618;0.016228018;0.003109798
ZINC000000120286;6.075343898;5.3747025;5.725023199;0.350320699;0.061191141
ZINC000242548690;6.037945885;5.4365983;5.737272093;0.300673793;0.0524071
ZINC000000008492;7.52615897;6.6258774;7.076018185;0.450140785;0.063614984
ZINC000003607120;5.87926357;5.3572574;5.618260485;0.261003085;0.046456209
ZINC000001612996;6.532906235;6.338897;6.435901618;0.097004617;0.015072421
ZINC000003918087;6.24708726;5.474912;5.86099963;0.38608763;0.065874024
ZINC000000001673;6.819078085;6.676123;6.747600543;0.071477543;0.010593031
ZINC000000896546;6.133440416;5.710468;5.921954208;0.211486208;0.035712233
ZINC000051133897;5.954559842;4.9810576;5.467808721;0.486751121;0.089021242
ZINC000004658290;5.260952373;4.9648137;5.112883037;0.148069337;0.028960048
ZINC000001529323;6.199083682;5.273032;5.736057841;0.463025841;0.080721962
ZINC000095616601;6.476246196;6.2050323;6.340639248;0.135606948;0.021386952
ZINC000014961096;6.594282832;6.300204;6.447243416;0.147039416;0.022806556
ZINC000001633887;5.232919741;5.1311164;5.182018071;0.050901671;0.00982275
ZINC000002005305;5.916703506;5.4725795;5.694641503;0.222062003;0.038994905
ZINC000003861806;5.498780406;5.393547;5.446163703;0.052616703;0.009661242
ZINC000100009383;5.802542827;6.2077794;6.005161114;0.202618287;0.033740691
ZINC000000018635;6.450798251;6.618394;6.534596126;0.083797875;0.012823727
ZINC000002548959;5.322317503;5.0010123;5.161664902;0.160652602;0.031124183
ZINC000003831405;6.05885553;5.842585;5.950720265;0.108135265;0.018171794
ZINC000003831404;6.05885553;5.842585;5.950720265;0.108135265;0.018171794
ZINC000000389747;6.393065439;5.5904446;5.99175502;0.40131042;0.066977107
ZINC000085205448;6.111523151;5.6932797;5.902401426;0.209121726;0.03542994
ZINC000000967520;6.315347061;6.299908;6.307627531;0.00771953;0.001223841
ZINC000001633889;5.232919741;5.1311164;5.182018071;0.050901671;0.00982275
ZINC000003830635;5.596014086;5.1475873;5.371800693;0.224213393;0.041738963
ZINC000026011099;6.395495702;6.193582;6.294538851;0.100956851;0.0160388
ZINC000000005560;5.813892714;5.2439833;5.528938007;0.284954707;0.051538778
ZINC000000005823;6.376749202;5.5057125;5.941230851;0.435518351;0.073304398
ZINC000000005895;5.792188602;5.6780915;5.735140051;0.057048551;0.009947194
ZINC000000006016;5.3856167;5.1588287;5.2722227;0.113394;0.021507817
